method,params,P_exact,P_more,P_full,U_nominal_acc,U_ordinal_mae,SD_nominal_acc,SD_ordinal_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},0.9745467224546723,0.9968619246861925,0.9862273361227336,,,,,0.0,0.0,,
dpbart,{'epsilon': 10},0.023672320953295817,0.02188197736031689,0.002887477424268231,0.07341352136043136,,0.04852758191621734,,0.2885285934339861,0.755603827702593,,1.67
dpbart,{'epsilon': 25},0.023643785090776102,0.03067613681480749,0.003341862091634532,0.07335267302113552,,0.053460422710319096,,0.2840794683787223,0.7370712468168057,,1.62
dpbart,{'epsilon': 50},0.034141646583719244,0.03942280957652216,0.005213326084333122,0.09283050145047658,,0.08122668876916701,,0.27242828094756705,0.6709825664436792,,1.51
dpbart,{'epsilon': 100},0.37017045404793625,0.2841777413221839,0.0962742661246229,0.6654259718775848,,0.7005789909015715,,0.1917756258258157,0.4049707386084979,,1.77
dpbart,{'epsilon': 250},0.5532114681769755,0.4654082944889868,0.18531348286591245,0.8478710210830922,,0.8342290202563043,,0.16820243923759698,0.34753054652075077,,1.87
dpparaphrase,{'epsilon': 10},0.09756595264412943,0.11841744401755686,0.03222801447617545,0.4774700289375775,,0.49607275733774286,,0.24874634363770534,0.5151887831927645,,3.04
dpparaphrase,{'epsilon': 25},0.06982843120152696,0.11228130450152451,0.02038320172088346,0.40512608515915666,,0.4915254237288136,,0.24629604311312658,0.5112460666540556,,2.95
dpparaphrase,{'epsilon': 50},0.08069670397827762,0.11103917306021623,0.031864394415616955,0.3815626291856139,,0.5047540305911534,,0.24210485585616018,0.5059363629061416,,2.73
dpparaphrase,{'epsilon': 100},0.08330526393186334,0.12031190313502697,0.03377581531209293,0.5560148821827201,,0.5436130632492766,,0.23210954698169955,0.4908567545123155,,3.05
dpparaphrase,{'epsilon': 250},0.09005784497753767,0.15968946732313508,0.06281206733526296,0.5934656741108354,,0.5698924731182796,,0.23252397240736547,0.5267921535951463,,3.11
dpprompt,{'epsilon': 10},0.02366362092661947,0.02943992240709037,0.004646802274646134,0.06868018204385602,,0.04840711625982623,,0.28673093803273186,0.8153455363103737,,4.18
dpprompt,{'epsilon': 25},0.032131087279384116,0.02951482114573004,0.0034246384409010702,0.0622923588039867,,0.0739202657807309,,0.2753855478872492,0.7207179572092883,,3.9
dpprompt,{'epsilon': 50},0.5942359546600073,0.6945367581545258,0.5758121331286365,0.7012448132780082,,0.7427385892116183,,0.15286220967522302,0.41807924363669396,,0.58
dpprompt,{'epsilon': 100},0.696420993480082,0.8466099160536136,0.7339253339545029,0.8267162944582299,,0.835814722911497,,0.1289466789579273,0.36057265950475664,,0.64
dpprompt,{'epsilon': 250},0.7593600230784714,0.8901726345590113,0.7755620393431099,0.844435250310302,,0.8568473314025652,,0.12635181090236944,0.35070473857433604,,0.61
