method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9581589958158996,0.99581589958159,0.9790794979079498,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,0.0
dummy,{},,0.02533794898808972,0.02533794898808972,0.0034595005614934146,0.0041841004184100415,0.0041841004184100415,0.00041339396444811904,0.054981397271599834,,0.054981397271599834,,1.0,1.0,,
presidio,{},,0.8300033611152599,0.7343394339425978,0.5411162162283775,0.7447698744769874,0.6652719665271967,0.4560669456066946,0.9727159983464242,,0.972302604381976,,0.09998730250063294,0.24145139047260766,,0.04459694088466308
petre_shap,{'k': 2},,0.767141390916262,0.6732668593762995,0.24989251497715453,0.6610878661087866,0.5732217573221757,0.0,0.9586606035551881,,0.9599007854485324,,0.1269025948482291,0.3741613882149132,0.28972577544343475,3.9682447414172355
petre_shap,{'k': 3},,0.7388581696964629,0.6313835915516091,0.1681938157701314,0.6276150627615062,0.497907949790795,0.0,0.9520463001240181,,0.9520463001240181,,0.13470321265366905,0.40723918005487214,0.34531600007156205,4.19305796908171
petre_shap,{'k': 5},,0.7214066687999803,0.5613615061397895,0.10085357171429962,0.6150627615062761,0.39330543933054396,0.0,0.9458453906572964,,0.9429516329061596,,0.14430584610370922,0.4468309966891191,0.3872176663849986,4.362513101012893
petre_shap,{'k': 7},,0.6895553865988807,0.5193230703775044,0.0766581294414785,0.5732217573221757,0.3389121338912134,0.0,0.9284828441504754,,0.9317899958660604,,0.1512341976116491,0.4718337973538184,0.40455105747224074,4.432611317430638
petre_shap,{'k': 10},,0.6772121181726021,0.4392252376425425,0.05429824079414887,0.5564853556485355,0.2301255230125523,0.0,0.9148408433236874,,0.9255890863993386,,0.15800158023439986,0.4962172195894406,0.42916537808776695,4.532154445765917
petre_shap,{'k': 15},,0.6463002707502536,0.3520690136389474,0.03662087894888348,0.5146443514644351,0.1297071129707113,0.0,0.9264158743282348,,0.9119470855725507,,0.16596799467949397,0.5214283427929274,0.44343838157968785,4.589876104653791
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.7494606812984206,0.6807431000115356,0.2533452437674433,0.6359832635983264,0.5774058577405857,0.0,0.9528730880529144,,0.9694088466308391,,0.11404279508882438,0.2729681012131745,0.057313265626410745,3.3895196543486557
dpmlm_shap,"{'epsilon': 10, 'k': 3}",,0.7172504212542206,0.655289822466208,0.1792055574631003,0.602510460251046,0.5313807531380753,0.0,0.9586606035551881,,0.9636213311285655,,0.11873889329168312,0.28395654133599174,0.07801034866576365,3.6036502475835643
dpmlm_shap,"{'epsilon': 10, 'k': 5}",,0.6773114549174242,0.5842777452825827,0.10841506600894343,0.5564853556485355,0.41841004184100417,0.0,0.9586606035551881,,0.9590739975196362,,0.12400370885538335,0.29673498738349197,0.10194076226655582,3.851232655739885
dpmlm_shap,"{'epsilon': 10, 'k': 7}",,0.6582743158108895,0.5413209809869065,0.08230082356141798,0.5397489539748954,0.3472803347280335,0.0,0.9499793303017776,,0.9532864820173625,,0.12794929331321764,0.30582979361520124,0.12022761500689808,4.040427172582841
dpmlm_shap,"{'epsilon': 10, 'k': 10}",,0.6359821062116635,0.46151826975114096,0.06104803970661202,0.5188284518828452,0.23430962343096234,0.0,0.9400578751550227,,0.9470855725506407,,0.13229774127769392,0.3158782752413255,0.14065420409276064,4.251759254036295
dpmlm_shap,"{'epsilon': 10, 'k': 15}",,0.6108233428354721,0.3757723712110478,0.023572120628049965,0.48535564853556484,0.12552301255230125,0.0,0.9326167837949566,,0.9417114510128152,,0.13700342737677276,0.32610573614984073,0.16320255264144376,4.485042912512062
dpmlm_shap,"{'epsilon': 25, 'k': 2}",,0.7529297172546743,0.6874394719798743,0.2697903720077964,0.6401673640167364,0.5857740585774058,0.008368200836820083,0.9636213311285655,,0.9702356345597354,,0.11408711765954789,0.2714809043908129,0.06202508095316737,3.2270219018360495
dpmlm_shap,"{'epsilon': 25, 'k': 3}",,0.724974943376367,0.6484850744480709,0.18766840887426545,0.6192468619246861,0.5188284518828452,0.008368200836820083,0.954940057875155,,0.9632079371641175,,0.1189657138516559,0.281370586023788,0.08581494911789476,3.3921263783188795
dpmlm_shap,"{'epsilon': 25, 'k': 5}",,0.6854865768497218,0.580070533574359,0.1207018828553161,0.5732217573221757,0.401673640167364,0.012552301255230125,0.9565936337329475,,0.9590739975196362,,0.12424257977928392,0.2925555143365194,0.11234602575474749,3.5762551632420396
dpmlm_shap,"{'epsilon': 25, 'k': 7}",,0.6461710884674723,0.5186937652938248,0.09468558049151565,0.5313807531380753,0.3054393305439331,0.012552301255230125,0.9458453906572964,,0.9541132699462588,,0.1282332939222461,0.30036677834710684,0.13338264689261337,3.72225178230211
dpmlm_shap,"{'epsilon': 25, 'k': 10}",,0.6210662290067978,0.4564718751430644,0.07880285166275706,0.502092050209205,0.23430962343096234,0.016736401673640166,0.9379909053327822,,0.9528730880529144,,0.1325247528485002,0.30888772252893193,0.15590146471709393,3.878535020283042
