method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.9745467224546723,0.9968619246861925,0.9862273361227336,0.9581589958158996,0.99581589958159,0.9790794979079498,0.9793303017775941,,0.9731293923108723,,0.0,0.0,,0.0
dummy,{},,0.02533794898808972,0.02533794898808972,0.0034595005614934146,0.0041841004184100415,0.0041841004184100415,0.00041339396444811904,0.054981397271599834,,0.054981397271599834,,1.0,1.0,,
presidio,{},,0.8300033611152599,0.7343394339425978,0.5411162162283775,0.7447698744769874,0.6652719665271967,0.4560669456066946,0.9727159983464242,,0.972302604381976,,0.09998730250063294,0.24145139047260766,,0.04459694088466308
dpmlm_uniform,{'epsilon': 10},,0.029029153263360034,0.03326010015457465,0.005020391643341412,0.0041841004184100415,0.008368200836820083,0.0,0.10334849111202976,,0.1128565522943365,,0.27404353888678423,0.5811321668391535,0.9999932781469195,9.201711451012814
dpmlm_uniform,{'epsilon': 25},,0.19232247874954025,0.3550056892587794,0.1495576058574832,0.100418410041841,0.24686192468619247,0.08368200836820083,0.7933030177759405,,0.7941298057048367,,0.20542802784550332,0.34744179388026947,0.9881309637185363,12.30463001240182
dpmlm_uniform,{'epsilon': 50},,0.6638173477933211,0.758696502501193,0.5076852984480246,0.5397489539748954,0.6443514644351465,0.38493723849372385,0.9024390243902439,,0.9119470855725507,,0.1549118464275942,0.24507996819392863,0.8652713257021751,4.15087639520463
dpmlm_uniform,{'epsilon': 100},,0.7274615261539948,0.7830098158341999,0.552127683375,0.606694560669456,0.6778242677824268,0.4435146443514644,0.909466721785862,,0.920214964861513,,0.14347023964421027,0.2286609530867797,0.8107521990457613,5.18430756510955
dpmlm_uniform,{'epsilon': 250},,0.7572422979719227,0.8264149195271195,0.5725586454921191,0.6485355648535565,0.7364016736401674,0.4602510460251046,0.9127738735014469,,0.9231087226126499,,0.13901969419623664,0.223345041348945,0.7840893541333298,10.102178586192641
dpmlm_shap,{'epsilon': 10},,0.03259140365069447,0.03419663938879543,0.00404572191446596,0.008368200836820083,0.012552301255230125,0.0,0.13724679619677552,,0.14055394791236048,,0.2736068256091559,0.653833969787638,0.8607534260946916,6.6297643654402645
dpmlm_shap,{'epsilon': 25},,0.07893207338876125,0.09992423395274419,0.027938160930760757,0.03347280334728033,0.04602510460251046,0.016736401673640166,0.6998759818106656,,0.6105828854898718,,0.23907516230823286,0.5120057593037788,0.8037022129910883,2.7994253823894173
dpmlm_shap,{'epsilon': 50},,0.24563693396510577,0.1859377066377768,0.06197188625699664,0.16317991631799164,0.09623430962343096,0.03347280334728033,0.8152128978916908,,0.8119057461761058,,0.20964465036821936,0.4283733735474711,0.7063098962949718,7.3345473336089295
dpmlm_shap,{'epsilon': 100},,0.3838985175416875,0.26188168159597136,0.09566903845111892,0.27615062761506276,0.16736401673640167,0.05439330543933055,0.8673005374121537,,0.8726746589499793,,0.1952543666708711,0.3904227567801992,0.6422376841041695,7.005965274906987
dpmlm_shap,{'epsilon': 250},,0.4224921039859529,0.31194091498312315,0.11566431327085466,0.28870292887029286,0.2175732217573222,0.06694560669456066,0.8772219925589086,,0.9090533278214138,,0.1861103384541105,0.3685702799136799,0.5975259324836327,7.914175279040926
